SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Alisma gramineum,Alismataceae,,,Lej.,Grass-leaved Water-plantain,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Alisma plantago-aquatica,Alismataceae,,,L.,common water-plantain,Herbaceous,7,26,34,SNA,,G5,E,SE?,,1892
Alisma subcordatum,Alismataceae,,,Raf.,Southern Water-plantain,Herbaceous,2,NA,1,S4,,G5,N,,,NA
Alisma triviale,Alismataceae,,,Pursh,Northern Water-plantain,Herbaceous,2,NA,1,S5,,G5,N,,,NA
Alkekengi officinarum,Solanaceae,,,Moench,Strawberry Ground-cherry,Herbaceous,8,NA,4,SNA,,GNA,E,SE2,,NA
Alliaria petiolata,Brassicaceae,,,(Bieb.) Cavara & Grande,Garlic Mustard,Herbaceous,162,9,49,SNA,,GNA,E,SE5,,NA
Allium aflatunense,Liliaceae,,,B. Fedtsch.,Garden onion,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Allium ampeloprasum,Amaryllidaceae,,,L.,wild leek,Herbaceous,NA,1,3,SNA,,G5,E,SE?,y,1973
Allium canadense,Liliaceae,,,L.,Canada Garlic,Herbaceous,1,NA,1,S5,,G5,N,,,NA
Allium schoenoprasum,Liliaceae,,,L.,Wild Chives,Herbaceous,7,1,3,S4,,G5,E,SE?,,1980
Allium tricoccum,Liliaceae,,,Ait.,Wild Leek,Herbaceous,20,3,9,S4,,G5,N,,,NA
Allium tuberosum,Amaryllidaceae,,,Rottler,Chinese Chives,Herbaceous,2,NA,1,SNA,,GNA,E,SE1,,NA
Allium vineale,Liliaceae,,,L.,Wild Garlic,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE2,,NA
Alnus alnobetula,Betulaceae,crispa,Alnus viridis,(Aiton) Raus,American Green Alder,Tree,NA,NA,NA,S5,,G5,N,,,NA
Alnus glutinosa,Betulaceae,,,(L.) Gaertn.,European Black Alder,Tree,22,13,21,SNA,,GNA,E,SE4,,NA
Alnus incana,Betulaceae,,,(L.) Moench,Grey Alder,Tree,20,17,26,S5,,G5,N,,,NA
Alopecurus aequalis,Poaceae,,,Sobol.,Short-awned Foxtail,Graminoid,2,2,3,S4,,G5,N,,,NA
Alopecurus geniculatus,Poaceae,,,L.,Water Foxtail,Graminoid,NA,NA,NA,SNA,,GNA,E,SE3,,NA
Alopecurus pratensis,Poaceae,,,L.,Meadow Foxtail,Graminoid,2,2,3,SNA,,GNA,E,SE5,,1933
Althaea hirsuta,Malvaceae,,,L.,Rough Marsh-mallow,Herbaceous,1,1,2,SNA,,GNA,E,SEX,,1904
Althaea officinalis,Malvaceae,,,L.,Common Marsh-mallow,Herbaceous,NA,1,3,SNA,,GNA,E,SE1,,1973
Alyssum alyssoides,Brassicaceae,,,(L.) L.,Small Alyssum,Herbaceous,2,7,9,SNA,,GNA,E,SE5,,NA
Amaranthus albus,Amaranthaceae,,,L.,White Amaranth,Herbaceous,3,6,9,SNA,,GNA,E,SE5,,1893
Amaranthus blitoides,Amaranthaceae,,,S. Wats.,Prostrate Amaranth,Herbaceous,8,15,21,SNA,,GNA,E,SE4,,NA
Amaranthus blitum,Amaranthaceae,,,L.,Purple Amaranth,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Amaranthus cruentus,Amaranthaceae,,,L.,Blood Amaranth,Herbaceous,NA,1,3,SNA,,GNA,E,SEX,,1938
Amaranthus hybridus,Amaranthaceae,,,L.,Smooth Amaranth,Herbaceous,2,1,2,SNA,,G5,E,SE5,,1904
Amaranthus hypochondriacus,Amaranthaceae,,,L.,Prince's-feather Amaranth,Herbaceous,NA,2,5,SNA,,G4,E,SE1,,1940
Amaranthus powellii,Amaranthaceae,,,S. Wats.,Powell's Amaranth,Herbaceous,2,1,2,SNA,,G5,E,SE5,,1977
Amaranthus retroflexus,Amaranthaceae,,,L.,Red-root Amaranth,Herbaceous,6,11,15,SNA,,G5,E,SE5,,NA
Ambrosia artemisiifolia,Asteraceae,,,L.,Common Ragweed,Herbaceous,39,26,41,S5,,G5,N,,,NA
Ambrosia trifida,Asteraceae,,,L.,Great Ragweed,Herbaceous,30,12,22,S5,,G5,N,,,NA
Amelanchier alnifolia,Rosaceae,,,(Nutt.) Nutt. ex M. Roemer,Saskatoon,Shrub/tree,17,2,7,S4,,G5,N,,,NA
Amelanchier arborea,Rosaceae,,,(Michx. f.) Fern.,Downy Serviceberry,Shrub/tree,19,25,35,S5,,G5,N,,,NA
Amelanchier interior,Rosaceae,,,Nielsen,Inland Serviceberry,Shrub/tree,NA,NA,NA,S?,,GNA,U,,,NA
Amelanchier canadensis,Rosaceae,,,(L.) Medik.,Serviceberry,Shrub/tree,NA,NA,NA,S5,,G5,N,,,NA
Amelanchier laevis,Rosaceae,,,Wieg.,Smooth Serviceberry,Shrub/tree,37,3,13,S5,,G5,N,,,NA
Amelanchier sanguinea,Rosaceae,,,(Pursh) DC.,Round-leaved Serviceberry,Shrub/tree,NA,11,27,S5,,G5,N,,,NA
Amelanchier spicata,Rosaceae,,Amelanchier stolonifera,(Lam.) K. Koch,Running Serviceberry,Shrub,8,29,38,S4,,G5,N,,,NA
Ammophila breviligulata,Poaceae,,,Fern.,American Beachgrass,Graminoid,NA,5,13,S4,,G5,N,,,NA
Amorpha fruticosa,Fabaceae,,,L.,Shrubby False Indigo,Herbaceous,1,NA,1,S?,,G5,N,,,NA
Ampelopsis glandulosa,Vitaceae,,,(Wallich) Momiyama,Amur Peppervine,Vine,NA,NA,NA,SNA,,G5,E,SE?,,NA
Amphicarpaea bracteata,Fabaceae,,,(L.) Fern.,American Hog-peanut,Herbaceous,18,5,11,S5,,G5,N,,,NA
Anagallis arvensis,Primulaceae,,,L.,scarlet pimpernel,Herbaceous,NA,9,22,SNA,,GNA,E,SE?,,NA
Anaphalis margaritacea,Asteraceae,,,(L.) Benth. & Hook. f.,Pearly Everlasting,Herbaceous,8,9,13,S5,,G5,N,,,NA
