SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Juncus alpinoarticulatus,Juncaceae,,,Chaix,Alpine Rush,Graminoid,NA,6,15,S5,,G5,N,,,NA
Juncus arcticus,Juncaceae,,,Willd.,Arctic Rush,Graminoid,1,NA,1,S3,,G5,N,,,NA
Juncus articulatus,Juncaceae,,,L.,Jointed Rush,Graminoid,6,14,19,S5,,G5,N,,,NA
Juncus balticus,Juncaceae,,,Willd.,Baltic Rush,Graminoid,6,13,18,S5,,G5,N,,,NA
Juncus brachycephalus,Juncaceae,,,(Engelm.) Buch.,Short-headed Rush,Graminoid,NA,1,3,S4,,G5,N,,,NA
Juncus bufonius,Juncaceae,,,L.,Toad Rush,Graminoid,7,18,24,S5,,G5,N,,,NA
Juncus canadensis,Juncaceae,,,J. Gay ex Laharpe,Canada Rush,Graminoid,NA,1,3,S5,,G5,N,,,NA
Juncus compressus,Juncaceae,,,Jacq.,Flattened Rush,Graminoid,10,19,26,SNA,,G5,E,SE5,,NA
Juncus dudleyi,Juncaceae,,,Wieg.,Dudley's Rush,Graminoid,5,6,9,S5,,G5,N,,,NA
Juncus effusus,Juncaceae,solutus,,L.,Soft Rush,Graminoid,1,3,4,S5,,G5,N,,,NA
Juncus gerardii,Juncaceae,,,Loisel.,blackgrass,Graminoid,2,8,11,S?,,G?,N,,,NA
Juncus inflexus,Juncaceae,,,L.,Incurved Rush,Graminoid,1,NA,1,SNA,,G5,E,SE1,,NA
Juncus longistylis,Juncaceae,,,Torr.,Long-styled Rush,Graminoid,1,NA,1,S3,,G5,N,,,NA
Juncus nodosus,Juncaceae,,,L.,Knotted Rush,Graminoid,2,7,9,S5,,G5,N,,,NA
Juncus tenuis,Juncaceae,,,Willd.,Path Rush,Graminoid,7,7,11,S5,,G5,N,,,NA
Juncus torreyi,Juncaceae,,,Coville,Torrey's Rush,Graminoid,7,4,7,S5,,G5,N,,,NA
Juniperus chinensis,Cupressaceae,,,L.,Chinese juniper,Shrub/tree,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Juniperus communis,Cupressaceae,,,L.,Common Juniper,Shrub/tree,1,NA,1,S5,,G5,N,,,NA
Juniperus horizontalis,Cupressaceae,,,Moench,Creeping Juniper,Shrub,1,NA,1,S5,,G5,N,,,NA
Juniperus media,Cupressaceae,,,NA,NA,Shrub/tree,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Juniperus sabina,Cupressaceae,,,L.,savin juniper,Shrub,NA,NA,NA,SNA,,G5,E,SE?,,NA
Juniperus virginiana,Cupressaceae,,,L.,Eastern Red Cedar,Shrub/tree,15,2,6,S5,,G5,N,,,NA
Justicia americana,Acanthaceae,,,(L.) Vahl,American Water-willow,Herbaceous,1,NA,1,S2,THR,G5,N,,,NA
Kalmia polifolia,Ericaceae,,,Wangenh.,Pale Bog Laurel,Shrub,12,NA,6,S5,,G5,N,,,NA
Kalopanax septemlobus,Araliaceae,,,(Thunb. ex A. Murr.) Koidz,Castor Aralia,Tree,1,NA,1,SNA,,GNA,E,SE1,,NA
Kerria japonica,Rosaceae,,,(L.) DC.,Japanese-rose,Shrub,NA,1,3,SNA,,G5,E,SE1,,1996
Knautia arvensis,Dipsacaceae,,,(L.) Coult.,Blue-button,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE1,,NA
Koelreuteria paniculata,Sapindaceae,,,Laxm.,Golden-rain tree,Tree,NA,NA,NA,SNA,,GNA,E,SE?,y,NA
Kolkwitzia amabilis,Caprifoliaceae,,,Graebn.,Beautybush,Shrub,3,NA,2,SNA,,GNA,E,SE1,,NA
Laburnum x watereri,Fabaceae,,,Fabr.,Golden chain,Tree,NA,NA,NA,SNA,,GNA,E,SE?,y,NA
Lactuca biennis,Asteraceae,,,(Moench) Fern.,Tall Blue Lettuce,Herbaceous,6,3,6,S5,,G5,N,,,NA
Lactuca canadensis,Asteraceae,,,L.,Canada Lettuce,Herbaceous,5,5,8,S5,,G5,N,,,NA
Lactuca floridana,Asteraceae,,,(L.) Gaertn.,Woodland Lettuce,Herbaceous,NA,1,3,S1,,G5,N,,,NA
Lactuca serriola,Asteraceae,,,L.,Prickly Lettuce,Herbaceous,11,13,19,SNA,,GNA,E,SE5,,1895
Lamiastrum galeobdolon,Lamiaceae,,,(L.) Ehrend. & Polatschek,Yellow Archangel,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE1,,NA
Lamium amplexicaule,Lamiaceae,,,L.,Common Dead-nettle,Herbaceous,2,8,11,SNA,,GNA,E,SE3,,NA
Lamium maculatum,Lamiaceae,,,L.,Spotted Dead-nettle,Herbaceous,6,1,3,SNA,,GNA,E,SE2,,1973
Lamium purpureum,Lamiaceae,,,L.,Purple Dead-nettle,Herbaceous,6,NA,3,SNA,,GNA,E,SE3,,NA
Laportea canadensis,Urticaceae,,,(L.) Weddell,Wood Nettle,Herbaceous,14,12,18,S5,,G5,N,,,NA
Lappula squarrosa,Boraginaceae,,,(Retz.) Dumort.,Bristly Stickseed,Herbaceous,3,1,2,SNA,,GNA,E,SE5,,1974
Lapsana communis,Asteraceae,,,L.,Common Nipplewort,Herbaceous,9,15,21,SNA,,GNA,E,SE5,,1904
Larix decidua,Pinaceae,,,P. Mill.,European Larch,Tree,5,1,3,SNA,,G5,E,SE2,,1979
Larix laricina,Pinaceae,,,(Du Roi) K. Koch,Tamarack,Tree,14,6,11,S5,,G5,N,,,NA
Lathyrus japonicus,Fabaceae,,,Willd.,Beach Pea,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Lathyrus latifolius,Fabaceae,,,L.,Everlasting Pea,Herbaceous,3,3,5,SNA,,GNA,E,SE4,,1978
Lathyrus ochroleucus,Fabaceae,,,Hook.,Cream-colored Vetchling,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Lathyrus palustris,Fabaceae,,,L.,Marsh Vetchling,Herbaceous,6,26,33,S5,,G5,N,,,NA
Lathyrus pratensis,Fabaceae,,,L.,Meadow Pea,Herbaceous,4,NA,2,SNA,,GNA,E,SE2,,NA
Lathyrus tuberosus,Fabaceae,,,L.,Tuberous Vetchling,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE3,,NA
Lechea intermedia,Cistaceae,,,Leggett ex Britt.,Large-pod Pinweed,Herbaceous,4,11,15,S4,,G5,N,,,NA
Leersia oryzoides,Poaceae,,,(L.) Sw.,Rice Cutgrass,Graminoid,7,7,11,S5,,G5,N,,,NA
Leersia virginica,Poaceae,,,Willd.,Virginia Cutgrass,Graminoid,2,NA,1,S4,,G5,N,,,NA
Lemna minor,Araceae,,,L.,Lesser Duckweed,Herbaceous,11,8,13,S5,,G5,N,,,NA
Lemna trisulca,Araceae,,,L.,Star Duckweed,Herbaceous,6,6,9,S5,,G5,N,,,NA
Leonurus cardiaca,Lamiaceae,,,,Common Motherwort,Herbaceous,69,17,37,SNA,,GNA,E,SE5,,1927
Lepidium campestre,Brassicaceae,,,(L.) Ait. f.,Field Peppergrass,Herbaceous,19,17,26,SNA,,GNA,E,SE5,,NA
Lepidium chalepense,Brassicaceae,,,L.,Lens-pod Hoarycress,Herbaceous,NA,NA,NA,SNA,,GNA,E,SEX,,NA
Lepidium coronopus,Brassicaceae,,,(Linnaeus) Al-Shehbaz,Greater Swinecress,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Lepidium densiflorum,Brassicaceae,,,Schrad.,Dense-flowered Peppergrass,Herbaceous,11,28,37,SNA,,G5,E,SE5,,NA
Lepidium perfoliatum,Brassicaceae,,,L.,Clasping-leaved Peppergrass,Herbaceous,1,1,2,SNA,,GNA,E,SEX,,1953
Lepidium ruderale,Brassicaceae,,,L.,Roadside Peppergrass,Herbaceous,3,7,10,SNA,,GNA,E,SE3,,1904
Lepidium sativum,Brassicaceae,,,L.,Garden Peppergrass,Herbaceous,2,2,3,SNA,,GNA,E,SE2,,1904
Lepidium virginicum,Brassicaceae,,,L.,Poor-man's Peppergrass,Herbaceous,4,7,10,S5,,G5,N,,,NA
Lespedeza capitata,Fabaceae,,,Michx.,Round-headed Bush-clover,Herbaceous,7,NA,4,S4,,G5,N,,,NA
Lespedeza hirta,Fabaceae,,,(L.) Hornem.,Hairy Bush-clover,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Lespedeza thunbergii,Fabaceae,,,(DC.) Nakai,Thunberg's Bush-clover,Herbaceous,NA,1,3,SNA,,GNA,E,SEX,,1947
Leucanthemum vulgare,Asteraceae,,,Lam.,Oxeye Daisy,Herbaceous,38,21,35,SNA,,GNA,E,SE5,,NA
Liatris cylindracea,Asteraceae,,,Michx.,Slender Blazing-star,Herbaceous,13,21,29,S3,,G5,N,,,NA
Liatris spicata,Asteraceae,,,(L.) Willd.,Dense Blazing-star,Herbaceous,6,NA,3,S2,THR,G5,N,,,NA
Ligustrum obtusifolium,Oleaceae,,,Sieb. & Zucc.,Border Privet,Shrub,1,NA,1,SNA,,GNA,E,SE1,,NA
Ligustrum vulgare,Oleaceae,,,L.,European Privet,Shrub,NA,6,15,SNA,,GNA,E,SE5,,NA
Lilium lancifolium,Liliaceae,,,Thunb.,Tiger Lily,Herbaceous,1,1,2,SNA,,GNA,E,SE1,,1974
Lilium michiganense,Liliaceae,,,Farw.,Michigan Lily,Herbaceous,23,7,14,S4,,G5,N,,,NA
Lilium philadelphicum,Liliaceae,,,L.,Wood Lily,Herbaceous,3,12,16,S5,,G5,N,,,NA
Lilium superbum,Liliaceae,,,L.,Turk's cap lily,Herbaceous,NA,2,5,SNA,,GNA,E,SE?,y,1972
Limonium vulgare,Plumbaginaceae,,,P. Mill.,Common Sea Lavender,Herbaceous,1,NA,1,SNA,,GNA,E,SEX,,NA
Linaria vulgaris,Plantaginaceae,,,P. Mill.,Butter-and-eggs,Herbaceous,73,37,62,SNA,,GNA,E,SE5,,NA
Lindera benzoin,Lauraceae,,,(L.) Blume,Northern Spicebush,Shrub,12,13,19,S4,,G5,N,,,NA
Lindernia dubia,Scrophulariaceae,dubia,,(L.) Pennell,Yellow-seeded False Pimpernel,Herbaceous,3,5,7,S4,,G5,N,,,NA
Linnaea borealis,Caprifoliaceae,longiflora,,L.,Twinflower,Herbaceous,2,5,7,S5,,G5,N,,,NA
Linum medium,Linaceae,,,(Planch.) Britt.,Stiff Yellow Flax,Herbaceous,1,3,4,S3,,G5,N,,,NA
Linum perenne,Linaceae,,,L.,Blue Flax,Herbaceous,NA,2,5,SNA,,GNA,E,SE3,,1991
Linum usitatissimum,Linaceae,,,L.,Common Flax,Herbaceous,5,NA,3,SNA,,GNA,E,SE3,,NA
Linum virginianum,Linaceae,,,L.,Woodland Flax,Herbaceous,NA,3,8,S2,,G4,N,,,NA
Liparis loeselii,Orchidaceae,,,(L.) L.C. Rich.,Loesel's Twayblade,Herbaceous,6,12,16,S4,,G5,N,,,NA
Liquidambar styraciflua,Altingiaceae,,,L.,Sweetgum,Tree,1,NA,1,SNA,,G5,E,SE1,,NA
Liriodendron tulipifera,Magnoliaceae,,,L.,Tulip Tree,Tree,15,NA,8,S4,,G5,N,,,NA
Lithospermum arvense,Boraginaceae,,Buglossoides arvensis,L.,Corn Gromwell,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE5,,1952
Lithospermum officinale,Boraginaceae,,,L.,European Gromwell,Herbaceous,13,1,5,SNA,,GNA,E,SE5,,1973
Lobelia cardinalis,Campanulaceae,,,L.,Cardinal Flower,Herbaceous,5,1,3,S5,,G5,N,,,NA
Lobelia inflata,Campanulaceae,,,L.,Indian-tobacco,Herbaceous,9,5,9,S5,,G5,N,,,NA
Lobelia kalmii,Campanulaceae,,,L.,Kalm's Lobelia,Herbaceous,2,11,14,S5,,G5,N,,,NA
Lobelia siphilitica,Campanulaceae,,,L.,Great Blue Lobelia,Herbaceous,30,21,33,S5,,G5,N,,,NA
Lobelia spicata,Campanulaceae,,,Lam.,Pale-spike Lobelia,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Lobularia maritima,Brassicaceae,,,(L.) Desv.,Sweet Alyssum,Herbaceous,5,2,4,SNA,,GNA,E,SE2,,1896
Lolium arundinaceum,Poaceae,,,(Schreb.) S.J. Darbyshire,Tall Fescue,Graminoid,NA,NA,NA,SNA,,GNA,E,SE5,,NA
Lolium multiflorum,Poaceae,,,Lam.,Annual Ryegrass,Graminoid,NA,1,3,SNA,,GNA,E,SE1,,1974
Lolium perenne,Poaceae,,,L.,Perennial Ryegrass,Graminoid,15,14,21,SNA,,GNA,E,SE4,,NA
Lolium pratense,Poaceae,,,(Huds.) S.J. Darbyshire,Meadow Fescue,Graminoid,NA,NA,NA,SNA,,G5,E,SE5,,NA
Lonicera canadensis,Caprifoliaceae,,,Bartr. ex Marsh.,Canada Fly Honeysuckle,Shrub,16,16,24,S5,,G5,N,,,NA
Lonicera dioica,Caprifoliaceae,,,L.,Limber Honeysuckle,Shrub,13,23,31,S5,,G5,N,,,NA
Lonicera hirsuta,Caprifoliaceae,,,Eat.,Hairy Honeysuckle,Shrub,1,3,4,S5,,G5,N,,,NA
Lonicera involucrata,Caprifoliaceae,,,Banks ex Spreng.,Bracted Honeysuckle,Shrub,2,1,2,S5,,G5,N,,,NA
Lonicera japonica,Caprifoliaceae,,,Thunb.,Japanese Honeysuckle,Shrub,1,NA,1,SNA,,GNA,E,SE2,,NA
Lonicera maackii,Caprifoliaceae,,,(Rupr.) Maxim.,Amur Honeysuckle,Shrub,3,NA,2,SNA,,GNA,E,SE2,,NA
Lonicera morrowii,Caprifoliaceae,,,Gray,Morrow's Honeysuckle,Shrub,10,NA,5,SNA,,GNA,E,SE3,,NA
Lonicera sempervirens,Caprifoliaceae,,,L.,Trumpet Honeysuckle,Shrub,1,NA,1,SNA,,G5,E,SE1,,NA
Lonicera tatarica,Caprifoliaceae,,,L.,Tatarian Honeysuckle,Shrub,24,22,33,SNA,,GNA,E,SE5,,NA
Lonicera x bella,Caprifoliaceae,,,Zabel,(Lonicera morrowii X Lonicera tatarica),Shrub,NA,NA,NA,SNA,,GNA,E,SE?,,NA
Lonicera xylosteum,Caprifoliaceae,,,L.,Dwarf Honeysuckle,Shrub,6,3,6,SNA,,GNA,E,SE2,,1939
Lotus corniculatus,Fabaceae,,,L.,Garden Bird's-foot Trefoil,Herbaceous,63,2,18,SNA,,GNA,E,SE5,,1974
Lotus tenuis,Fabaceae,,,Waldst. & Kit. ex Willd.,Narrow-leaved Bird's-foot Trefoil,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Ludwigia palustris,Onagraceae,,,(L.) Ell.,Marsh Seedbox,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Lunaria annua,Brassicaceae,,,L.,Annual Honesty,Herbaceous,3,NA,2,SNA,,GNA,E,SE2,,NA
Lunaria rediviva,Brassicaceae,,,L.,perennial honesty,Herbaceous,NA,1,3,SNA,,GNA,E,SE?,y,1990
Lupinus perennis,Fabaceae,perennis,,L.,Sundial Lupine,Herbaceous,16,3,8,S2,,G5,N,,,NA
Lupinus polyphyllus,Fabaceae,,,Lindl.,Large-leaved Lupine,Herbaceous,2,NA,1,SNA,,G5,E,SE4,,NA
Luzula acuminata,Juncaceae,,,Raf.,Hairy Woodrush,Graminoid,1,2,3,S5,,G5,N,,,NA
Luzula campestris,Juncaceae,,,(L.) DC.,Field Woodrush,Graminoid,NA,1,3,SNA,,G5,E,SE1,,1974
Luzula multiflora,Juncaceae,,,,Many-flowered Woodrush,Graminoid,NA,NA,NA,S5,,G5,N,,,NA
Lycium barbarum,Solanaceae,,,L.,Common Matrimony Vine,Vine/Shrub,4,4,6,SNA,,GNA,E,SE2,,1890
Lycopersicon esculentum,Solanaceae,,,Mill.,Tomato,Herbaceous,NA,4,10,SNA,,GNA,E,SE?,y,NA
Lycopsis arvensis,Boraginaceae,,Anchusa arvensis,L.,Small Bugloss,Herbaceous,2,4,6,SNA,,GNA,E,SE3,,1911
Lycopus americanus,Lamiaceae,,,Muhl. ex W. Bart.,American Water-horehound,Herbaceous,10,15,21,S5,,G5,N,,,NA
Lycopus europaeus,Lamiaceae,,,L.,European Water-horehound,Herbaceous,15,8,14,SNA,,GNA,E,SE5,,NA
Lycopus uniflorus,Lamiaceae,,,Michx.,Northern Water-horehound,Herbaceous,11,6,10,S5,,G5,N,,,NA
Lysimachia arvensis,Primulaceae,,,(Linnaeus) U. Manns &amp; Anderberg,Scarlet Pimpernel,Herbaceous,34,NA,16,SNA,,GNA,E,SE4,,NA
Lysimachia borealis,Primulaceae,,Trientalis borealis,(Rafinesque) U. Manns &amp; Anderberg,Northern Starflower,Herbaceous,8,20,27,S5,,G5,N,,,NA
Lysimachia ciliata,Primulaceae,,,L.,Fringed Loosestrife,Herbaceous,23,28,40,S5,,G5,N,,,NA
Lysimachia nummularia,Primulaceae,,,L.,Creeping Jennie,Herbaceous,16,9,15,SNA,,GNA,E,SE5,,1885
Lysimachia producta,Primulaceae,,,(A. Gray) Fernald,,Herbaceous,NA,4,10,SNA,,GNA,E,SE?,y,1896
Lysimachia punctata,Primulaceae,,,L.,Spotted Loosestrife,Herbaceous,8,NA,4,SNA,,GNA,E,SE3,,NA
Lysimachia quadrifolia,Primulaceae,,,L.,Whorled Loosestrife,Herbaceous,3,13,17,S4,,G5,N,,,NA
Lysimachia terrestris,Primulaceae,,,(L.) B.S.P.,Swamp Loosestrife,Herbaceous,NA,11,27,S5,,G5,N,,,NA
Lysimachia thyrsiflora,Primulaceae,,,L.,Water Loosestrife,Herbaceous,8,10,15,S5,,G5,N,,,NA
Lysimachia vulgaris,Primulaceae,,,L.,Garden Loosestrife,Herbaceous,1,7,9,SNA,,GNA,E,SE3,,1899
Lythrum salicaria,Lythraceae,,,L.,Purple Loosestrife,Herbaceous,88,22,48,SNA,,G5,E,SE5,,1928
Maackia amurensis,Fabaceae,,,Rupr.,Amur maackia,Tree,NA,NA,NA,SNA,,GNA,E,SE1,y,NA
Maclura pomifera,Moraceae,,,(Raf.) Schneid.,Osage-orange,Shrub/tree,4,3,5,SNA,,G5,E,SE2,,1955
Magnolia acuminata,Magnoliaceae,,,L.,Cucumber tree,Tree,NA,NA,NA,S2,,G5,N,,y,NA
Magnolia x soulangiana,Magnoliaceae,,,Theib.-Bern.,Chinese magnolia,Tree,NA,NA,NA,SNA,,GNA,E,,y,NA
Mahonia aquifolium,Berberidaceae,,Berberis aquifolium,(Pursh) Nutt.,Holly-leaved Oregon-grape,Shrub,NA,NA,NA,SNA,,G5,E,SE2,,1974
Maianthemum canadense,Liliaceae,,,Desf.,Wild Lily-of-the-valley,Herbaceous,49,29,47,S5,,G5,N,,,NA
Maianthemum racemosum,Liliaceae,racemosum,,(L.) Link,Large False Solomon's Seal,Herbaceous,73,24,47,S5,,G5,N,,,NA
Maianthemum stellatum,Liliaceae,,,(L.) Link,Star-flowered False Solomon's Seal,Herbaceous,48,37,57,S5,,G5,N,,,NA
Maianthemum trifolium,Liliaceae,,,(L.) Sloboda,Three-leaved Solomon's Seal,Herbaceous,7,NA,4,S5,,G5,N,,,NA
Malaxis monophyllos,Orchidaceae,brachypoda,,(L.) Sw.,White Adder's-mouth,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Malus baccata,Rosaceae,,,(L.) Borkh.,Siberian Crabapple,Shrub/tree,NA,NA,NA,SNA,,GNA,E,SE1,y,NA
Malus coronaria,Rosaceae,,,(L.) P. Mill.,Sweet Crabapple,Shrub/tree,12,11,17,S4,,G5,N,,,NA
Malus domestica,Rosaceae,,,Borkh.,apple,Shrub/tree,NA,1,3,SNA,,GNA,E,SE?,y,NA
Malus prunifolia,Rosaceae,,,(Willd.) Borkh.,Pear-leaved Crabapple,Shrub/tree,NA,NA,NA,SNA,,GNA,E,SE1,,NA
Malus pumila,Rosaceae,,,P. Mill.,Common Apple,Tree,13,14,21,SNA,,G5,E,SE4,,NA
Malus sargentii,Rosaceae,,,Rehder,Sargent's apple,Shrub,NA,1,3,SNA,,GNA,E,SE?,y,1996
Malus toringo,Rosaceae,,,(Sieb.) Sieb. ex de Vriese,Japanese Crabapple,Shrub,NA,NA,NA,SNA,,GNA,E,SE1,y,NA
Malva alcea,Malvaceae,,,L.,Vervain Cheeseweed,Herbaceous,NA,1,3,SNA,,GNA,E,SE1,,NA
Malva moschata,Malvaceae,,,L.,Musk Cheeseweed,Herbaceous,5,6,9,SNA,,GNA,E,SE5,,NA
Malva neglecta,Malvaceae,,,Wallr.,Dwarf Cheeseweed,Herbaceous,8,5,8,SNA,,GNA,E,SE5,,1892
Malva pusilla,Malvaceae,,,Sm.,Running Cheeseweed,Herbaceous,2,6,8,SNA,,GNA,E,SE2,,NA
Malva sylvestris,Malvaceae,,,L.,High Cheeseweed,Herbaceous,3,3,5,SNA,,GNA,E,SE1,,NA
Marrubium vulgare,Lamiaceae,,,L.,Common Horehound,Herbaceous,1,NA,1,SNA,,GNA,E,SE2,,NA
Matricaria chamomilla,Asteraceae,,,L.,Wild Chamomile,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE3,,NA
Matricaria discoidea,Asteraceae,,Matricaria matricarioides,DC.,Pineappleweed,Herbaceous,16,6,12,SNA,,G5,E,SE5,,NA
Matteuccia struthiopteris,Onocleaceae,,,(L.) Todaro,Ostrich Fern,Herbaceous,35,2,11,S5,,G5,N,,,NA
Medeola virginiana,Liliaceae,,,L.,Indian Cucumber-root,Herbaceous,7,12,17,S5,,G5,N,,,NA
Medicago falcata,Fabaceae,,,L.,Yellow Alfalfa,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE?,y,NA
Medicago laciniata,Fabaceae,,,(L.) Mill.,Cut-leaved Medic,Herbaceous,NA,1,3,SNA,,GNA,E,SEX,,1904
Medicago lupulina,Fabaceae,,,L.,Black Medic,Herbaceous,28,7,16,SNA,,GNA,E,SE5,,1972
Medicago polymorpha,Fabaceae,,,L.,Toothed Medic,Herbaceous,NA,2,5,SNA,,GNA,E,SEX,,NA
Medicago sativa,Fabaceae,,,,Alfalfa,Herbaceous,20,3,9,SNA,,GNA,E,SE5,,1973
Melampyrum lineare,Scrophulariaceae,,,Desr.,American Cow-wheat,Herbaceous,4,5,8,S5,,G5,N,,,NA
Melilotus albus,Fabaceae,,,Medik.,White Sweet-clover,Herbaceous,34,5,15,SNA,,G5,E,SE5,,1972
Melilotus officinalis,Fabaceae,,,(L.) Lam.,Yellow Sweet-clover,Herbaceous,23,6,13,SNA,,GNA,E,SE5,,1972
Melissa officinalis,Lamiaceae,,,L.,Lemon Balm,Herbaceous,2,NA,1,SNA,,GNA,E,SE1,,NA
Menispermum canadense,Menispermaceae,,,L.,Canada Moonseed,Vine,7,5,8,S4,,G5,N,,,NA
Mentha aquatica,Lamiaceae,,,L.,Water Mint,Herbaceous,NA,1,3,SNA,,GNA,E,SE1,,1908
Mentha canadensis,Lamiaceae,,Mentha arvensis ssp. Borealis,L.,Canada Mint,Herbaceous,5,9,13,S5,,G5,N,,,NA
Mentha spicata,Lamiaceae,,,L.,Spearmint,Herbaceous,4,2,4,SNA,,GNA,E,SE4,,1922
Mentha x carinthiaca,Lamiaceae,,,Host,mint,Herbaceous,NA,1,3,SNA,,GNA,E,SE?,y,NA
Mentha x piperita,Lamiaceae,,,L. (pro sp.),(Mentha aquatica X Mentha spicata),Herbaceous,NA,5,13,SNA,,GNA,E,SE?,y,NA
Mentha x villosa,Lamiaceae,,,Huds. (pro sp.),(Mentha spicata X Mentha suaveolens),Herbaceous,NA,NA,NA,SNA,,GNA,E,SE?,y,NA
Menyanthes trifoliata,Menyanthaceae,,,L.,Bog Buckbean,Herbaceous,3,7,10,S5,,G5,N,,,NA
Mertensia virginica,Boraginaceae,,,(L.) Pers. ex Link,Virginia Bluebells,Herbaceous,4,3,5,S3,,G5,N,,,NA
Metasequoia glyptostroboides,Cupressaceae,,,Hu & W.C.Cheng,dawn redwood,Tree,NA,3,8,SNA,,GNA,E,SE?,y,1955
Micranthes virginiensis,Saxifragaceae,,Saxifraga virginiensis,(Michx.) Small,Early Saxifrage,Herbaceous,2,14,18,S5,,G5,N,,,NA
Microthlaspi perfoliatum,Brassicaceae,,,(L.) F.K. Mey.,Perfoliate Penny-cress,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Milium effusum,Poaceae,,,L.,Tall Millet,Graminoid,3,4,6,S4,,G5,N,,,NA
Mimulus glabratus,Scrophulariaceae,,,Kunth,roundleaf monkeyflower,Herbaceous,NA,7,18,S5,,G5,N,,,NA
Mimulus moschatus,Scrophulariaceae,,,Douglas ex Lindl.,muskflower,Herbaceous,NA,2,5,SNA,,GNA,E,SE?,y,1893
Mimulus ringens,Scrophulariaceae,,,L.,Square-stemmed Monkeyflower,Herbaceous,11,21,29,S5,,G5,N,,,NA
Mirabilis nyctaginea,Nyctaginaceae,,,(Michx.) MacM.,Wild Four-o'clock,Herbaceous,1,NA,1,S2,,G5,N,,,NA
Miscanthus sacchariflorus,Poaceae,,,(Maxim.) Franch.,Japanese Silver Grass,Graminoid,7,NA,4,SNA,,GNA,E,SE3,,NA
Miscanthus sinensis,Poaceae,,,Anderss.,Chinese Silver Grass,Graminoid,9,NA,5,SNA,,GNA,E,SE1,,NA
Mitchella repens,Rubiaceae,,,L.,Partridge-berry,Herbaceous/shrub,11,5,9,S5,,G5,N,,,NA
Mitella diphylla,Saxifragaceae,,,L.,Two-leaved Mitrewort,Herbaceous,17,33,45,S5,,G5,N,,,NA
Mitella nuda,Saxifragaceae,,,L.,Naked Mitrewort,Herbaceous,7,9,13,S5,,G5,N,,,NA
Moehringia lateriflora,Caryophyllaceae,,,(L.) Fenzl,Grove Sandwort,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Mollugo verticillata,Molluginaceae,,,L.,Green Carpet-weed,Herbaceous,1,NA,1,SNA,,G5,E,SE5,,NA
Monarda didyma,Lamiaceae,,,L.,Scarlet Beebalm,Herbaceous,5,5,8,S3,,G5,N,,,NA
Monarda fistulosa,Lamiaceae,,,L.,Wild Bergamot,Herbaceous,59,23,42,S5,,G5,N,,,NA
Monarda punctata,Lamiaceae,,,L.,Spotted Beebalm,Herbaceous,1,NA,1,S1,,G5,N,,,NA
Moneses uniflora,Ericaceae,,,(L.) Gray,One-flowered Wintergreen,Herbaceous,1,1,2,S5,,G5,N,,,NA
Monotropa hypopithys,Ericaceae,,,L.,Dutchmans pipe,Herbaceous,NA,NA,NA,S?,,G?,N,,,NA
Monotropa uniflora,Ericaceae,,,Linnaeus,Indian-pipe,Herbaceous,13,7,12,S5,,G5,N,,,NA
Morella pensylvanica,Myricaceae,,,(Mirbel) Kartesz,Northern Bayberry,Shrub,NA,NA,NA,S1,,G5,U,,,NA
Morus alba,Moraceae,,,L.,White Mulberry,Tree,49,22,39,SNA,,GNA,E,SE5,,NA
Morus rubra,Moraceae,,,L.,Red Mulberry,Tree,NA,NA,NA,S2,END,G5,N,,,NA
Muhlenbergia asperifolia,Poaceae,,,(Nees & Meyen ex Trin.) Parodi,Alkali Muhly,Graminoid,1,NA,1,SNA,,G5,E,SE3,,NA
Muhlenbergia frondosa,Poaceae,,,(Poir.) Fern.,Wirestem Muhly,Graminoid,NA,2,5,S4,,G5,N,,,NA
Muhlenbergia glomerata,Poaceae,,,(Willd.) Trin.,Marsh Muhly,Graminoid,1,1,2,S5,,G5,N,,,NA
Muhlenbergia mexicana,Poaceae,,,(L.) Trin.,Mexican Muhly,Graminoid,6,9,13,S5,,G5,N,,,NA
