,Plot,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,RAT 11,RAT 11,RAT 18,RAT 18,RAT 23,RAT 23,RAT 24,RAT 24,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,GLEN 10,GLEN 10,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 18,GLEN 18,GLEN 20,GLEN 20,GLEN 23,GLEN 23,GLEN 8,GLEN 8,RAT 11-1,RAT 11-1,RAT 11-3,RAT 11-3,RAT 18-1,RAT 18-1,RAT 18-3,RAT 18-3,RAT 23-1,RAT 23-1,RAT 23-3,RAT 23-3,RAT 24-3,RAT 24-3,WEW 10,WEW 2,WEW 3,WEW 4,WEW 6,WEW 7,WEW 9,RAT 11,RAT 11,RAT 18,RAT 18,RAT 23,RAT 23,RAT 24,RED 1,RED 2,YAR 1,DQP 1,DQP 1,DQP 2,DQP 2,IQS 1,IQS 1,IQS 2,IQS 2,MTB 1 & 2,MTB 1 & 2,MTB 3 & 4,MTB 3 & 4,MTB 5,MTB 5,MTB 6,MTB 6,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1 ,NEYA 1 ,NEYA 2,NEYA 2,RED 1,RED 1,RED 2,RED 2,SPEY 1,SPEY 1,SPEY 2,SPEY 2,TWS 1,TWS 1,TWS 2,TWS 2,WFW 1,WFW 1,WFW 2,WFW 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,MTB 1 & 2,MTB 1 & 2,MTB 3 & 4,MTB 3 & 4,MTB 5,MTB 5,MTB 6,MTB 6,SPEY 1,SPEY 1,SPEY 2,SPEY 2,WEW 1,WEW 1,WEW 3,WEW 3,WEW 4,WEW 4,WEW 5,WEW 5,DQP 1,DQP 1,DQP 2,DQP 2,IQS 1,IQS 1,IQS 2,IQS 2,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1,NEYA 1,NEYA 2,NEYA 2,WEW 10,WEW 10,WEW 2,WEW 2 ,WEW 6,WEW 6,WEW 7,WEW 7,WEW 8,WEW 8,WEW 9,WEW 9,WFW 1,WFW 1,WFW 2,WFW 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,GLEN 1,GLEN 1,GLEN 10,GLEN 10,GLEN 12,GLEN 12,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 18,GLEN 18,GLEN 20,GLEN 20,GLEN 24,GLEN 24,GLEN 4,GLEN 4,GLEN 8,GLEN 8,RED 1,RED 1,RED 2,RED 2,TWS 1,TWS 1,TWS 2,TWS 2,RAT 11,RAT 11,RAT 13,RAT 13,RAT 14,RAT 14,RAT 18,RAT 18,RAT 2,RAT 2,RAT 23,RAT 23,RAT 24,RAT 24,RAT 4,RAT 4,RAT 5,RAT 5,RAT 7,RAT 7,IQS 1,IQS 1,IQS 2,IQS 2,SPEY 1,SPEY 1,SPEY 2,SPEY 2,WEW 1,WEW 1,WEW 10,WEW 10,WEW 2,WEW 2 ,WEW 3,WEW 3,WEW 4,WEW 4,WEW 5,WEW 5,WEW 6,WEW 6,WEW 7,WEW 7,WEW 8,WEW 8,WEW 9,WEW 9,WFW 1,WFW 1,WFW 2,WFW 2,DQP 1,DQP 1,DQP 2,DQP 2,MTB 1&2,MTB 1&2,MTB 3&4,MTB 3&4,MTB 5,MTB 5,MTB 6,MTB 6,MTB 7,MTB 7,MTB 8,MTB 8,NEYA 1,NEYA 1,NEYA 2,NEYA 2,YAR 1,YAR 1,YAR 2,YAR 2,YAR 3,YAR 3,GLEN 10,GLEN 10,GLEN 12,GLEN 12,GLEN 13,GLEN 13,GLEN 14,GLEN 14,GLEN 15,GLEN 15,GLEN 17,GLEN 17,GLEN 18,GLEN 18,GLEN 19,GLEN 19,GLEN 20,GLEN 20,GLEN 24,GLEN 24,,
Erythroniumÿamericanum,Trout lily,,,34,,65,29,,53,,,1,121,487,,,,,32,,25,15,3,220,0.4,39,0.18,425,1.055,156,0.41,6,0.03,5,0.015,163,0.53,3,0.01,99,0.305,150,0.325,29,0.02,1,0.005,6,0.01,79,0.225,2,,65,,90,40,,,,6,3,1,5,3,,,,162,0.205,18,0.025,126,0.11,208,0.32,124,0.13,179,0.17,81,0.08,230,0.36,101,0.075,15,0.015,276,0.48,64,0.055,129,0.19,41,0.06,2,0.005,59,0.14,721,0.62,37,0.075,184,0.43,508,0.8,,,,,,,137,0.11,143,0.11,134,0.02,344,0.6,,,,,20,0.035,287,0.28,,,6,0.015,485,0.425,373,0.27,444,0.37,158,0.22,117,0.07,48,0.03,509,0.425,300,0.33,73,0.08,91,0.135,257,0.18,125,0.11,41,0.065,5,0.015,665,0.375,851,0.53,,,,,,,11,0.03,111,0.05,4,0.01,146,0.03,251,0.14,,,56,0.03,79,0.08,161,0.11,3,0.02,250,0.17,167,0.12,48,0.02,,,7,0.02,82,0.15,192,0.31,293,0.28,,,229,0.315,224,0.31,49,0.04,53,0.085,146,0.145,208,0.15,126,0.15,47,0.04,252,0.085,137,0.195,151,0.13,48,0.105,547,0.345,,,151,0.1,301,0.185,188,0.12,112,0.065,6,0.01,429,0.29,838,0.65,407,0.420,439,0.300,91.000,0.230,149.000,0.360,85.000,0.110,160.000,0.260,135.00,0.180,45.000,0.070,451,0.740,427,0.610,,,,,,,297.000,0.170,254.000,0.180,367.000,0.260,468.000,0.310,485.000,0.310,380.000,0.330,159.000,0.180,49.000,0.070,75.000,0.065,189.000,0.120,,
Euonymusÿobovata,Running Strawberry-bush,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,,,,,5,,,,Multiple Vines,5,,17,1.015,3,0.055,3,0.05,,,,,1,0.005,1,0.005,,,,,,,,,,,20,0.73,7,0.1,16,0.42,4,0.06,6,0.1,15,0.21,,,,,,,,,2,0.01,,,2,0.02,2,0.005,1,0.005,24,0.24,12,0.105,10,0.4,,,,,,,130,0.415,9,0.11,1,0.01,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,3,0.02,,,,,,,,,,,,,,,,,,,,,41,0.14,19,0.05,17,0.02,25,0.13,2,0.01,8,0.04,,,5,0.01,,,,,,,3,0.005,7,0.02,,,2,0.03,,,24,0.175,16,0.07,13,0.27,3,0.03,1,0.06,,,,,,,,,,,1,0.005,,,,,,,137,0.410,10,0.050,,,,,3.000,0.010,,,2.00,0.010,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
Eurybia macrophylla,Large-leaf Aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus grandifolia,American Beech,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08,1,0.05,,,,,,,1,0.005,,,,,,,,,,,,,2,,,2,2,,,1,,4,0.07,1,0.005,,,,,,,,,,,1,0.005,,,,,4,0.11,4,0.07,,,3,0.03,,,,,,,,,,,,,,,,,1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.02,,,,,,,1,0.01,4,0.06,1,0.01,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0.150,,,1.000,0.010,,,3.000,0.040,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragaria vesca ,Woodland Strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.01,,,,,,,,,,,,,1,0.01,3,0.01,,,,,9,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus sp.,Ash sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.015,5,0.015,,,,,,,,,,,,,,,,,1,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus americana,White Ash,,1,1,,,,,,,1,2,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,1,0.06,2,0.1,,,,,,,,1,,,,,,,,,3,3,,,8,23,,2,0.06,,,,,,,8,0.105,6,0.03,4,0.06,17,0.065,7,0.1,,,2,0.03,2,0.04,9,0.15,23,0.28,1,0.08,1,0.005,2,0.005,1,0.005,1,0.005,4,0.01,1,0.005,,,1,0.01,3,0.01,,,5,0.01,81,0.11,159,0.25,158,0.245,,,1,0.005,,,,,,,,,,,,,87,0.07,25,0.02,,,,,,,,,,,,,,,,,,,,,3,0.015,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,157,0.16,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.000,0.060,9.000,0.060,4.000,0.020,26.000,0.090,35.00,0.090,19.000,0.050,,,,,,,1,0.005,3,0.01,,,,,,,,,,,,,,,,,,,,,,
Fraxinusÿpensylvanica,Green Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine,Cleavers,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0.425,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium asprellum,Rough Bedstraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium sp. ,Bedstraw sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium maculatum,Wild Geranium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.35,14,0.07,,,,,,,,,,,,,,,,,9,0.07,,,,,,,,,,,2,0.01,,,,,9,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.16,6,0.045,,,,,,,,,4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.08,19,0.090,7,0.035,,,,,,,,,,,,,2,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium robertianum,Herb Robert,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,4,0.05,,,1,0.005,,,,,,,,,,,,,,,,,,,29,0.016,,,,,,,,,1,0.005,,,,,,,,,3,0.005,,,,,,,,,2,0.005,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.025,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,15,0.03,,,,,4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,2,0.01,1,0.01,,,,,1,0.005,,,,,,,,,28,0.055,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,1,0.005,45,0.03,,,,,,,,,,,,,,,,,,,,,,
Geum sp.,Avens sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.04,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,1,0.010,3,0.010,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatica americana,Round-Lobed Hepatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hieracium sp,Hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophyllum virginianum,Virginia Waterleaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.1,,,,,,,,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,2,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impatiens capensis,Spotted Jewelweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.065,65,0.05,,,,,,,,,,,3,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.01,,,,,,,2,0.005,26,0.01,34,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0.03,,,103,0.030,86,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impatiens sp.,Jewelweed sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,0.65,90,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapsana communis,Nipplewort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0.1,1,0.005,,,,,,,,,,,,,,,,,,,,,,,1,0.005,3,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.03,2,0.03,91,0.33,,,30,0.025,1,0.02,4,0.035,,,3,0.005,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera sp. ,Honeysuckle sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum canadense,Canada Mayflower,,7,71,12,,,,,,,,,,19,1,,,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,62,5,,,,,1,,,,,1,,,,,,4,0.04,,,,,5,0.01,2,0.005,,,,,,,,,,,,,,,,,5,0.02,2,0.02,3,0.03,,,,,,,,,,,,,6,0.01,1,0.005,2,0.005,,,8,0.025,3,0.015,7,0.03,3,0.015,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,17,0.03,10,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.08,,,,,3,0.01,,,,,3,0.01,,,1,0.005,,,,,,,,,,,29,0.05,5,0.01,,,,,,,51,0.065,7,0.01,,,2,0.01,33,0.05,24,0.02,,,,,,,,,,,12.000,0.040,1.000,0.005,2.000,0.010,,,,,,,,,,,,,5,0.02,,,,,,,,,,,,,,,,,,,,,,,,
Maianthemum racemosum ssp. racemosum,False Salomon's Seal,,10,,,,,,9,14,,,2,,,,2,,,,,1,,,,,,,,,,,,,,,,22,0.15,,,,,,,2,0.02,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,0.02,,,3,0.015,3,0.055,,,,,,,,,,,,,,,,,3,0.06,2,0.03,,,1,0.005,,,,,,,,,,,,,4,0.05,,,,,2,0.03,3,0.04,16,0.32,,,,,,,,,,,,,,,,,,,,,,,2,0.015,32,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.015,4,0.035,51,0.16,6,0.025,36,0.07,,,,,,,,,,,,,,,2,0.03,,,,,,,4.000,0.030,1.000,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteuccia struthioptersis var. pensylvanica,Ostrich Fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryzopsis asperifolia,Rough-leaved Mountain-rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000,0.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmhoriza claytonii,Sweet Cicely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostrya virginiana,Ironwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.025,,,,,,,,,5,0.025,,,,,,,,,,,,,,,,,1,0.05,5,0.1,,,1,0.05,,,,,,,,,,,,,,,,,,,1,0.005,3,0.015,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,5,0.01,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis dillenii,Dillen's Wood-sorrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis sp.,Wood-sorrel sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenocissus quinquefolia,Virginia Creeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.15,7,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patis racemosa,Black-fruited Rice Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.1,6,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.085,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae sp.,Grass sp.,,,2,5,,3,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.005,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
