"Name","month","start_h2","activity","nPolys"
"Speyside",8,14,0.090458,5
"Speyside",8,16,0.065902,5
"Speyside",8,18,0.064897,3
"Speyside",8,20,0,1
"Speyside",8,22,0.026352,1
"Waterdown Woods",6,0,0.18117,2
"Waterdown Woods",6,2,0.073768,1
"Waterdown Woods",6,4,0.048457,2
"Waterdown Woods",6,6,0.293941,11
"Waterdown Woods",6,8,0.601154,17
"Waterdown Woods",6,10,0.897089,28
"Waterdown Woods",6,12,0.38599,14
"Waterdown Woods",6,14,0.726815,30
"Waterdown Woods",6,16,0.622243,28
"Waterdown Woods",6,18,0.736309,21
"Waterdown Woods",6,20,0.58742,22
"Waterdown Woods",6,22,0.057336,5
"Waterdown Woods",7,0,0.002498,1
"Waterdown Woods",7,2,0.025121,1
"Waterdown Woods",7,6,0.018643,2
"Waterdown Woods",7,8,0.54007,22
"Waterdown Woods",7,10,0.826383,30
"Waterdown Woods",7,12,0.433017,14
"Waterdown Woods",7,14,0.483883,21
"Waterdown Woods",7,16,0.435692,16
"Waterdown Woods",7,18,0.331597,19
"Waterdown Woods",7,20,0.527786,23
"Waterdown Woods",7,22,0.01076,2
"Waterdown Woods",8,4,0.035413,1
"Waterdown Woods",8,6,0.108674,5
"Waterdown Woods",8,8,0.117535,6
"Waterdown Woods",8,10,0.249831,19
"Waterdown Woods",8,12,0.605409,19
"Waterdown Woods",8,14,0.291701,21
"Waterdown Woods",8,16,0.325409,13
"Waterdown Woods",8,18,0.475215,24
"Waterdown Woods",8,20,0.018885,2
"Waterdown Woods",8,22,0.006491,2
"Wildflower Woods",6,0,0.092906,2
"Wildflower Woods",6,6,0.007873,2
"Wildflower Woods",6,8,0.114574,6
"Wildflower Woods",6,10,0.041313,2
"Wildflower Woods",6,12,0.057845,5
"Wildflower Woods",6,14,0.131314,4
"Wildflower Woods",6,16,0.175378,5
"Wildflower Woods",6,18,0.070182,2
"Wildflower Woods",6,20,0.099975,5
"Wildflower Woods",6,22,0.002869,1
"Wildflower Woods",7,0,0.017932,2
"Wildflower Woods",7,4,0.026251,1
"Wildflower Woods",7,6,0.109911,5
"Wildflower Woods",7,8,0.092235,5
"Wildflower Woods",7,10,0.078037,5
"Wildflower Woods",7,12,0.111478,6
"Wildflower Woods",7,14,0.228389,6
"Wildflower Woods",7,16,0.214173,6
"Wildflower Woods",7,18,0.179554,5
"Wildflower Woods",7,20,0.147536,3
"Wildflower Woods",7,22,0.025791,1
"Wildflower Woods",8,0,0.079816,3
"Wildflower Woods",8,6,0.04161,2
"Wildflower Woods",8,8,0.081798,3
"Wildflower Woods",8,10,0.108455,7
"Wildflower Woods",8,12,0,2
"Wildflower Woods",8,14,0.209657,5
"Wildflower Woods",8,16,0.053592,3
"Wildflower Woods",8,18,0.053576,1
"Wildflower Woods",8,20,0.08458,4
"Wildflower Woods",8,22,0.016768,1
